Change Component Footprint: Designator=J1 Old Footprint=691211720002 New Footprint=TECO-282836-2_V
Change Component Comment : Designator=J1 Old Comment=691211720002 New Comment=282836-2
Change Managed Component Library Link : Designator=J1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=6EE3C5B4-AA87-4BB6-82FB-893B9D7DC272 New ItemGUID=C9495783-FFFC-46B6-B95E-4CE97DFAD08E Old RevisionGUID=D3C312B2-5C30-4954-BF97-7B5B43F840A1 New RevisionGUID=DF47BFDD-E559-4BFA-862A-02055DA5A464
Change component parameters: Designator = "J1" ("J1"); Footprint = "691211720002"; UniqueID = "\YHYCBCBL" ("\YHYCBCBL")
Change component parameters (AddParameter): Name = "Screw Material - Plating"; Value = "Brass-NickelPlated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Screw Thread"; Value = "M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "Buchanan"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Torque - Screw"; Value = "0.68Nm(6Lb-In)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "300V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Gauge"; Value = "16-30AWG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Termination"; Value = "Screw-RisingCageClamp"; VariantName = "[No Variations]"
Added Component: Designator=J?(TECO-282836-2_V)
Add component (AddParameter): Name = "3D Model"; Value = "282836-2.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Connectors,Interconnects"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Clamp Material - Plating"; Value = "Brass-NickelPlated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material - Plating"; Value = "Brass-TinPlated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current"; Value = "13.5A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.te.com.cn/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F1308389_EUROSTYLE_TERMINAL_BLOCKS%7F0607%7Fpdf%7FEnglish%7FENG_CS_1308389_EUROSTYLE_TERMINAL_BLOCKS_0607.pdf%7F282836-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dynamic Catalog"; Value = "BuchananSeries"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "TerminalBlocks-WiretoBoard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Featured Product"; Value = "EurostyleTerminalBlockConnectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Interlocking(Side)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "Polyamide(PA66),Nylon6/6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.te.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mating Orientation"; Value = "HorizontalwithBoard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Levels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "5ULV-02B
A98076"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "THD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "0.197"(5.00mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Positions Per Level"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = "Wire-to-BoardEurostyleTerminalBlocks"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Information"; Value = "282836-2StatementofCompliance"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Screw Material - Plating"; Value = "Brass-NickelPlated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Screw Thread"; Value = "M3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Buchanan"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "300"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Torque - Screw"; Value = "0.68Nm(6Lb-In)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "300V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wire Gauge"; Value = "16-30AWG"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wire Termination"; Value = "Screw-RisingCageClamp"; VariantName = "[No Variations]"
Added Member To Class: ClassName=main_board_schem Member=Component J? 282836-2
Added Room: Name=main_board_schem
